id,listing_url,borough,neighborhood,room_type,property_type,nightly_price
1460870826538604739,https://www.airbnb.com/rooms/1460870826538604739,Manhattan,Hell's Kitchen,Entire home/apt,Entire rental unit,59.11
1467313578753594529,https://www.airbnb.com/rooms/1467313578753594529,Manhattan,Harlem,Private room,Private room in rental unit,74.5
1308822069323762943,https://www.airbnb.com/rooms/1308822069323762943,Manhattan,Harlem,Entire home/apt,Entire home,509.28
941557907167199278,https://www.airbnb.com/rooms/941557907167199278,Manhattan,Kips Bay,Entire home/apt,Entire rental unit,249.81
598600568938104304,https://www.airbnb.com/rooms/598600568938104304,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,236.73
1507241170930926918,https://www.airbnb.com/rooms/1507241170930926918,Manhattan,Upper West Side,Entire home/apt,Entire rental unit,149.37
23074259,https://www.airbnb.com/rooms/23074259,Brooklyn,East Flatbush,Private room,Private room in home,61.71
1542100051331099683,https://www.airbnb.com/rooms/1542100051331099683,Manhattan,Greenwich Village,Entire home/apt,Entire rental unit,245.16
667260564999109254,https://www.airbnb.com/rooms/667260564999109254,Staten Island,Eltingville,Shared room,Shared room in guesthouse,208.15
50357770,https://www.airbnb.com/rooms/50357770,Brooklyn,Sea Gate,Entire home/apt,Entire rental unit,159.76
1613961308739511781,https://www.airbnb.com/rooms/1613961308739511781,Queens,Flushing,Private room,Room in hotel,239.0
3513052,https://www.airbnb.com/rooms/3513052,Brooklyn,Bushwick,Private room,Private room in rental unit,115.87
1473271667847814576,https://www.airbnb.com/rooms/1473271667847814576,Manhattan,Gramercy,Entire home/apt,Entire rental unit,298.0
