listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,host_tier,market_segment,actual_price_usd,predicted_fair_price_usd,predicted_price_q10,predicted_price_q90,interval_width_pct,direction_confidence,confidence_score,confidence_level,residual_usd,residual_pct_of_fair,pricing_signal
3663984,Afi Apartments Sunny & Modern 1-BR | UES,https://www.airbnb.com/rooms/3663984,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,Enterprise,monthly,139.4,162.29,121.65,253.48,0.8082,Uncertain (within plausible range),26.4,Medium,-22.89,-0.141,Below model benchmark (review price)
3670659,"Bright & New Reno, Quiet Block",https://www.airbnb.com/rooms/3670659,Brooklyn,Clinton Hill,Entire home/apt,Entire rental unit,Mid-Multi,monthly,225.62,247.48,140.17,322.4,0.718,Uncertain (within plausible range),39.9,Medium,-21.86,-0.0883,Within 10% of model benchmark
3431922,One sunny bedroom in Inwood.,https://www.airbnb.com/rooms/3431922,Manhattan,Inwood,Private room,Private room in rental unit,Small-Multi,monthly,40.53,52.1,39.37,82.98,0.8236,Uncertain (within plausible range),24.3,Low,-11.57,-0.2221,Below model benchmark (review price)
3450210,Spacious Apt in Townhouse near Columbia University,https://www.airbnb.com/rooms/3450210,Manhattan,Harlem,Entire home/apt,Entire rental unit,Individual,monthly,166.43,131.47,92.68,183.52,0.6956,Uncertain (within plausible range),43.8,Medium,34.96,0.2659,Above model benchmark (review price)
3678829,Bright. Clean. Elegant. A perfect Brooklyn home.,https://www.airbnb.com/rooms/3678829,Brooklyn,Park Slope,Entire home/apt,Entire rental unit,Small-Multi,monthly,775.37,417.11,225.12,610.0,0.9126,Confident: lower price,15.9,Low,358.26,0.8589,Above model benchmark (review price)
4059620,Cute & Quiet in Heart of Soho/Nolita,https://www.airbnb.com/rooms/4059620,Manhattan,NoHo,Entire home/apt,Entire rental unit,Individual,monthly,204.88,128.07,70.39,193.36,0.9537,Confident: lower price,12.8,Low,76.81,0.5998,Above model benchmark (review price)
4060446,"Modern, spacious flat in upper Manhattan",https://www.airbnb.com/rooms/4060446,Manhattan,Inwood,Entire home/apt,Entire condo,Individual,monthly,117.01,114.94,85.98,131.93,0.4164,Uncertain (within plausible range),93.2,Medium,2.07,0.018,Within 10% of model benchmark
4070025,Luxury Flat with Outdoor and Office Space,https://www.airbnb.com/rooms/4070025,Brooklyn,Vinegar Hill,Entire home/apt,Entire condo,Individual,monthly,507.0,158.53,100.48,226.13,0.7911,Confident: lower price,28.7,Medium,348.47,2.1981,Above model benchmark (review price)
4121363,Large Garden Alcove Studio Apartment in Manhattan,https://www.airbnb.com/rooms/4121363,Manhattan,East Harlem,Entire home/apt,Entire rental unit,Individual,monthly,110.62,142.41,99.67,193.95,0.6678,Uncertain (within plausible range),49.2,Medium,-31.79,-0.2232,Below model benchmark (review price)
3685704,Private Guest Space in Brownstone + Garden,https://www.airbnb.com/rooms/3685704,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,Individual,monthly,110.99,95.3,56.59,144.46,0.9181,Uncertain (within plausible range),15.3,Low,15.69,0.1646,Above model benchmark (review price)
3689140,"West Village Loft, 2nd floor",https://www.airbnb.com/rooms/3689140,Manhattan,West Village,Entire home/apt,Entire loft,Small-Multi,monthly,238.47,231.82,154.38,273.24,0.5273,Uncertain (within plausible range),79.0,Medium,6.65,0.0287,Within 10% of model benchmark
3503627,"Bright, Fresh Room, at Music Producer Apartment",https://www.airbnb.com/rooms/3503627,Brooklyn,Flatbush,Private room,Private room in rental unit,Small-Multi,monthly,57.93,65.28,49.02,119.12,1.0519,Uncertain (within plausible range),7.6,Low,-7.35,-0.1127,Below model benchmark (review price)
3710685,Vintage NYC apt 15min from Times Sq,https://www.airbnb.com/rooms/3710685,Queens,Sunnyside,Entire home/apt,Entire rental unit,Small-Multi,monthly,118.87,120.63,91.01,159.37,0.5788,Uncertain (within plausible range),68.3,Medium,-1.76,-0.0146,Within 10% of model benchmark
3513052,Artsy Master Bedroom w/ Ensuite Bath in a 2BD apt,https://www.airbnb.com/rooms/3513052,Brooklyn,Bushwick,Private room,Private room in rental unit,Individual,monthly,115.87,79.21,52.02,129.5,0.9679,Uncertain (within plausible range),11.7,Low,36.66,0.4628,Above model benchmark (review price)
3519172,Gallery Suite,https://www.airbnb.com/rooms/3519172,Brooklyn,Fort Greene,Entire home/apt,Entire rental unit,Individual,monthly,237.83,184.23,111.3,228.12,0.6371,Confident: lower price,55.4,Medium,53.6,0.2909,Above model benchmark (review price)
3522244,Sweet Brooklyn Refuge,https://www.airbnb.com/rooms/3522244,Brooklyn,Clinton Hill,Entire home/apt,Entire rental unit,Individual,monthly,146.75,143.75,116.46,200.4,0.5883,Uncertain (within plausible range),66.2,Medium,3.0,0.0209,Within 10% of model benchmark
3738815,"Large apartment, 2BR, Midtown NYC! 3D",https://www.airbnb.com/rooms/3738815,Manhattan,Midtown,Entire home/apt,Entire rental unit,Mid-Multi,monthly,153.4,205.31,171.42,264.77,0.4727,Confident: raise price,87.3,Medium,-51.91,-0.2528,Below model benchmark (review price)
3743048,Boho Room in Art & Plant Oasis! Steps to SI Ferry!,https://www.airbnb.com/rooms/3743048,Staten Island,St. George,Private room,Private room in rental unit,Individual,monthly,66.53,83.01,51.38,88.13,0.5557,Uncertain (within plausible range),73.3,Medium,-16.48,-0.1985,Below model benchmark (review price)
3749140,Cozy Ozone Park studio Oasis w/kitchenette,https://www.airbnb.com/rooms/3749140,Queens,Ozone Park,Entire home/apt,Entire rental unit,Small-Multi,monthly,111.37,95.23,72.56,156.04,0.8575,Uncertain (within plausible range),20.7,Low,16.14,0.1695,Above model benchmark (review price)
