id,last_scraped,listing_first_review_date,listing_last_review_date,host_id,host_experience_years,listing_name,listing_url,borough,neighborhood,latitude,longitude,room_type,property_type,max_guests,bedrooms,beds,bathrooms,bedrooms_imputed,beds_imputed,bathrooms_imputed,nightly_price,days_available_next_365,min_nights,max_nights,is_monthly_rental(min_nights>28),total_reviews,reviews_last_12mo,reviews_last_30d,reviews_per_month,rating_overall,rating_cleanliness,rating_checkin,rating_communication,rating_location,rating_value,rating_listing_accuracy,is_superhost,host_total_listings,occupancy_rate,estimated_annual_revenue,host_tier,capacity_tier,segment,days_since_last_review,reviews_last_12mo_verified,sentiment_score,has_smoke_alarm,has_wifi,has_carbon_monoxide_alarm,has_hot_water,has_hangers,has_kitchen,has_bed_linens,has_hair_dryer,has_iron,has_essentials,has_dishes_and_silverware,has_microwave,has_refrigerator,has_cooking_basics,has_dedicated_workspace,has_air_conditioning,has_shampoo,has_heating,has_self_check_in,has_fire_extinguisher,occupancy_Jan,occupancy_Feb,occupancy_Mar,occupancy_Apr,occupancy_May,occupancy_Jun,occupancy_Jul,occupancy_Aug,occupancy_Sep,occupancy_Oct,occupancy_Nov,occupancy_Dec,occupancy_rate_calendar
1293032378200701704,6/14/26,12/28/25,12/28/25,109536360,1,Energy of Manhattan,https://www.airbnb.com/rooms/1293032378200701704,Manhattan,Upper West Side,40.79924334238399,-73.9627995,Private room,Private room in rental unit,2,1,1,1,1,0,0,69.77,217,30,365,1,1,1,0,0.18,5,5,5,5,5,4,4,f,45,60,4186,Enterprise,small,Manhattan | Private room | small,168,1,4,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.5161,0.4839,0.8667,1,1,0.9677,0.4055
1293119775453249994,6/15/26,9/2/25,1/28/26,662906806,1,Snrub Leisure Suite 2BR,https://www.airbnb.com/rooms/1293119775453249994,Queens,Jamaica,40.68134,-73.77204,Entire home/apt,Entire home,4,2,2,1,0,0,0,84.26,75,30,31,1,4,4,0,0.42,5,5,5,5,5,5,5,t,2,240,20222,Small-Multi,medium,Queens | Entire home/apt | medium,137,4,4.5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.9667,0,0,0.6,1,1,1,0.7945
1267390765842861010,6/14/26,5/31/25,5/25/26,401202937,5,Exclusive Studio 382 | Private Bathroom,https://www.airbnb.com/rooms/1267390765842861010,Manhattan,Midtown,40.74602,-73.98881,Entire home/apt,Entire rental unit,9,3,5,1,1,0,0,427.9,122,1,365,0,28,26,2,2.21,4.39,4.39,4.61,4.61,4.86,4.32,4.68,f,71,255,109115,Enterprise,large,Manhattan | Entire home/apt | large,20,26,3.6,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0.8667,0.5161,0.3226,0.3,0,0,1,0.6658
1267393506454063866,6/15/26,11/13/24,2/28/26,10149317,10,Private room with new furniture and mattress,https://www.airbnb.com/rooms/1267393506454063866,Queens,Glendale,40.702889423074026,-73.88414656,Private room,Private room in home,1,1,1,3.5,1,0,0,55.33,315,30,90,1,3,2,0,0.16,5,5,5,4.67,4.33,4.33,5,f,13,120,6640,Mid-Multi,small,Queens | Private room | small,106,2,4.5,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0.5333,1,0.0968,0,0,0,0,0.137
1293603263406451329,6/14/26,1/2/25,6/9/26,662970442,1,Luxury Oasis in Manhattan,https://www.airbnb.com/rooms/1293603263406451329,Manhattan,Harlem,40.80887745810176,-73.94118661,Entire home/apt,Entire townhouse,2,5,6,3,0,0,0,2086.67,131,3,365,0,45,27,3,2.55,4.98,4.93,4.98,4.98,4.51,4.8,4.96,t,1,255,532101,Individual,small,Manhattan | Entire home/apt | small,5,27,4.8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0.5161,1,1,1,1,0.5667,0.6774,0.1613,0.4,0.2903,0.4667,0.6452,0.6411
1293618881653216345,6/14/26,1/24/25,12/20/25,21500972,4,Comfy Midtown bedroom,https://www.airbnb.com/rooms/1293618881653216345,Manhattan,Hell's Kitchen,40.75879652133418,-73.99343717,Private room,Private room in rental unit,2,1,1,1,1,0,0,108.8,316,30,365,1,2,1,0,0.12,5,4.5,5,5,5,5,4.5,t,5,60,6528,Small-Multi,small,Manhattan | Private room | small,176,1,4.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5667,0.9677,0.0645,0,0,0,0,0.1342
1267419739074836709,6/14/26,11/26/24,5/31/26,657112440,1,Gramercy Park Apartment,https://www.airbnb.com/rooms/1267419739074836709,Manhattan,Stuyvesant Town,40.73538109623185,-73.97898349,Entire home/apt,Entire rental unit,2,1,1,1,0,0,0,151.23,187,30,365,1,5,4,1,0.27,4.8,5,5,4,4.8,4.6,5,f,1,240,36295,Individual,small,Manhattan | Entire home/apt | small,14,4,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.4,0.7742,1,0.6333,1,1,1,0.4877
1267441997402319351,6/15/26,10/29/24,5/31/26,598639779,1,Jfk Jupiter Suites,https://www.airbnb.com/rooms/1267441997402319351,Queens,St. Albans,40.69075,-73.77456,Private room,Private room in home,2,1,1,1,1,0,0,132,263,1,1125,0,137,82,7,6.91,4.87,4.93,4.88,4.89,4.85,4.87,4.93,t,1,255,33660,Individual,small,Queens | Private room | small,14,82,4.6,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0.0968,0,0,0,0,0.5667,0.5484,0.5484,0.5333,0.6452,0.0333,0.3548,0.2795
1293624395435033229,6/14/26,1/30/26,1/30/26,421108644,4,Modern Bright Bedroom H,https://www.airbnb.com/rooms/1293624395435033229,Brooklyn,Bedford-Stuyvesant,40.68467,-73.92053,Private room,Private room in rental unit,2,1,1,2,1,0,0,56.2,365,30,365,1,1,1,0,0.22,1,1,1,1,1,1,1,f,20,60,3372,Mid-Multi,small,Brooklyn | Private room | small,135,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294276473817755259,6/14/26,12/6/25,12/6/25,369522296,1,Penthouse in Greenpoint,https://www.airbnb.com/rooms/1294276473817755259,Brooklyn,Greenpoint,40.72882594254339,-73.95089836,Entire home/apt,Entire rental unit,5,2,2,2,0,0,0,274.73,44,30,120,1,1,1,0,0.16,5,5,5,5,5,4,5,f,1,60,16484,Individual,large,Brooklyn | Entire home/apt | large,190,1,5,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0.9,1,0.9677,1,1,0,0.6774,0.8795
1294389252493707420,6/14/26,11/3/24,3/19/26,657467122,1,Modern King Suite w/ Kitchen 5 min to Central Park,https://www.airbnb.com/rooms/1294389252493707420,Manhattan,Upper West Side,40.7806869,-73.9810357,Hotel room,Room in hotel,3,2,2,1,0,1,0,1051,49,1,999,0,9,7,0,0.46,5,4.89,5,4.89,5,4.78,4.89,f,7,90,94590,Mid-Multi,medium,Manhattan | Hotel room | medium,87,7,4.8,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0.9286,1,1,1,1,0.6452,1,0.7,0.8387,0.9,0.3871,0.8658
