listing_id,listing_name,listing_url,borough,neighborhood,room_type,property_type,max_guests,host_tier,segment,market_segment,cv_fold,actual_price_usd,predicted_fair_price_usd,residual_usd,residual_pct_of_fair,pricing_signal
136493,Historical space with exceptional light & art,https://www.airbnb.com/rooms/136493,Brooklyn,Park Slope,Private room,Private room in townhouse,3,Individual,Brooklyn | Private room | medium,short_stay,2,432.0,502.52,-70.52,-0.1403,Below fair value (underpriced)
1303884604226371796,"Spacious Room in Richmond Hill, Queens, NYC 2",https://www.airbnb.com/rooms/1303884604226371796,Queens,Richmond Hill,Private room,Private room in home,2,Small-Multi,Queens | Private room | small,short_stay,5,112.0,179.61,-67.61,-0.3764,Below fair value (underpriced)
1303917519314967935,"Spacious Room in Richmond Hill, Queens, NYC 1",https://www.airbnb.com/rooms/1303917519314967935,Queens,Richmond Hill,Private room,Private room in home,2,Small-Multi,Queens | Private room | small,short_stay,3,101.0,160.19,-59.19,-0.3695,Below fair value (underpriced)
1297904562696647997,Brownstone Suite by Prospect Park,https://www.airbnb.com/rooms/1297904562696647997,Brooklyn,Crown Heights,Entire home/apt,Entire home,2,Individual,Brooklyn | Entire home/apt | small,short_stay,1,508.0,288.12,219.88,0.7632,Above fair value (overpriced)
1297920874380365861,Top Rated • Upscale-Cozy-Stylish • Free Parking,https://www.airbnb.com/rooms/1297920874380365861,Staten Island,Tottenville,Private room,Private room in home,2,Individual,Staten Island | Private room | small,short_stay,1,160.0,221.19,-61.19,-0.2766,Below fair value (underpriced)
1298254618591900869,Desert Rose: Calm & Cute Deluxe Private Room - NYC,https://www.airbnb.com/rooms/1298254618591900869,Queens,Sunnyside,Private room,Private room in rental unit,2,Individual,Queens | Private room | small,short_stay,1,109.0,194.26,-85.26,-0.4389,Below fair value (underpriced)
1290526529867690092,Chelsea Studio 4 (Shared Bathroom),https://www.airbnb.com/rooms/1290526529867690092,Manhattan,Chelsea,Private room,Private room in rental unit,1,Enterprise,Manhattan | Private room | small,short_stay,5,315.0,182.94,132.06,0.7219,Above fair value (overpriced)
1290680526044434356,Modern Studio • Easy NYC Access • Quiet & Private,https://www.airbnb.com/rooms/1290680526044434356,Queens,Glendale,Private room,Private room in rental unit,2,Individual,Queens | Private room | small,short_stay,4,183.0,177.43,5.57,0.0314,Above fair value (overpriced)
1290712572437787645,Beautiful Apartment near LGA airport & Citi field,https://www.airbnb.com/rooms/1290712572437787645,Queens,Corona,Private room,Private room in rental unit,2,Individual,Queens | Private room | small,short_stay,3,171.18,230.44,-59.26,-0.2572,Below fair value (underpriced)
1290768376240023755,2025 New Development near JFK 3 bed 2 bath,https://www.airbnb.com/rooms/1290768376240023755,Queens,South Ozone Park,Private room,Private room in home,2,Individual,Queens | Private room | small,short_stay,4,493.5,389.77,103.73,0.2661,Above fair value (overpriced)
1298736958709030142,The Bricklane Nest,https://www.airbnb.com/rooms/1298736958709030142,Queens,Ridgewood,Private room,Private room in rental unit,1,Small-Multi,Queens | Private room | small,short_stay,3,290.0,183.11,106.89,0.5837,Above fair value (overpriced)
1299222792779005171,Near Theater District & Times Square + Dining,https://www.airbnb.com/rooms/1299222792779005171,Manhattan,Theater District,Private room,Room in hotel,4,Small-Multi,Manhattan | Private room | medium,short_stay,3,406.73,453.74,-47.01,-0.1036,Below fair value (underpriced)
1299274159107059262,Private Room NYC FIFA 2026 JFK UBS LGA - 2,https://www.airbnb.com/rooms/1299274159107059262,Queens,Queens Village,Private room,Private room in home,1,Small-Multi,Queens | Private room | small,short_stay,4,171.18,191.99,-20.81,-0.1084,Below fair value (underpriced)
1299303649233998267,Private Room NYC FIFA 2026 JFK UBS LGA,https://www.airbnb.com/rooms/1299303649233998267,Queens,Queens Village,Private room,Private room in home,1,Small-Multi,Queens | Private room | small,short_stay,3,204.0,207.86,-3.86,-0.0186,Below fair value (underpriced)
1305092541518230802,17John: Luxury One Bedroom Apartment,https://www.airbnb.com/rooms/1305092541518230802,Manhattan,Financial District,Entire home/apt,Entire rental unit,4,Enterprise,Manhattan | Entire home/apt | medium,short_stay,2,498.0,532.67,-34.67,-0.0651,Below fair value (underpriced)
1305092969836556862,17John: Executive King Suite with Sofa Bed,https://www.airbnb.com/rooms/1305092969836556862,Manhattan,Financial District,Entire home/apt,Entire rental unit,4,Enterprise,Manhattan | Entire home/apt | medium,short_stay,1,315.0,510.85,-195.85,-0.3834,Below fair value (underpriced)
1305093690842228163,17John: Junior King Studio,https://www.airbnb.com/rooms/1305093690842228163,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,1,651.0,488.96,162.04,0.3314,Above fair value (overpriced)
1305094445506176270,17John: Deluxe King Studio Apartment,https://www.airbnb.com/rooms/1305094445506176270,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,3,298.0,513.58,-215.58,-0.4198,Below fair value (underpriced)
1305094594871339028,17John: Premier King Studio Apartment,https://www.airbnb.com/rooms/1305094594871339028,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,4,639.0,446.01,192.99,0.4327,Above fair value (overpriced)
1305095106716193497,17John: Classic Queen Studio Apartment,https://www.airbnb.com/rooms/1305095106716193497,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,5,304.0,465.99,-161.99,-0.3476,Below fair value (underpriced)
1291680070107054691,Elegant Urban Escape,https://www.airbnb.com/rooms/1291680070107054691,Manhattan,Harlem,Private room,Private room in rental unit,2,Small-Multi,Manhattan | Private room | small,short_stay,5,199.71,198.32,1.39,0.007,Above fair value (overpriced)
1305095293816213388,17John: Queen Studio Apartment - Disability Access,https://www.airbnb.com/rooms/1305095293816213388,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,4,452.0,466.84,-14.84,-0.0318,Below fair value (underpriced)
1305095466098421605,17John: Grand King Suite Apartment,https://www.airbnb.com/rooms/1305095466098421605,Manhattan,Financial District,Entire home/apt,Entire rental unit,2,Enterprise,Manhattan | Entire home/apt | small,short_stay,3,321.0,489.18,-168.18,-0.3438,Below fair value (underpriced)
